,acc_x,acc_y,acc_z,ori_x,ori_y,ori_z,mag_x,mag_y,mag_z,labelCycling,labelBoxJump,labelSquats,labelSideLunges,labelLunges,labelSkipping
2019-06-19 00:02:22.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:22.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:22.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:23.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:23.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:23.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:23.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:24.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:24.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:24.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:24.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:25.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:25.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:25.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:25.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:26.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:26.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:26.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:26.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:27.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:27.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:27.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:27.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:28.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:28.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:28.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:28.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:29.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:29.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:29.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:29.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:30.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:30.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:30.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:30.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:31.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:31.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:31.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:31.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:32.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:32.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:32.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:32.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:33.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:33.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:33.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:33.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:34.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:34.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:34.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:34.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:35.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:35.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:35.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:35.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:36.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:36.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:36.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:36.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:37.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:37.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:37.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:37.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:38.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:38.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:38.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:38.817,2.47007946846,-6.65440742692,-3.44986048608,276.861536923,92.5546150769,18.874615,12.6778846154,39.4615384615,4.81730769231,0,0,0,0,1,0
2019-06-19 00:02:39.067,-0.6784210052,-9.90548286,-7.077068706,228.62874625,119.540414708,6.28541653167,12.7725,37.67,6.32,0,0,0,0,1,0
2019-06-19 00:02:39.317,-0.11951854976,-9.97443566,-7.616051284,215.521734348,125.813476478,-2.19913041261,10.8225,36.335,10.845,0,0,0,0,1,0
2019-06-19 00:02:39.567,-0.53361966982,-9.690770884,-6.5168253608,214.0975968,127.67679724,-2.66279996,12.2275,36.37,7.58,0,0,0,0,1,0
2019-06-19 00:02:39.817,2.3187364466,-7.691325098,-0.12066776526,252.8111964,106.29599836,10.635599896,11.6575,39.745,3.705,0,0,0,0,1,0
2019-06-19 00:02:40.067,3.085264057,-8.641535854,-0.001532293,275.571992,91.4643986,16.29519994,7.74,40.685,2.5125,0,0,0,0,1,0
2019-06-19 00:02:40.317,3.70277654264,-9.356923262,-1.1066958072,274.027997,92.06099885,17.95349965,6.50520833333,41.2786458333,4.19791666667,0,0,0,0,1,0
2019-06-19 00:02:40.567,3.1440656424,-8.97155263,-0.6067864893,280.7231944,92.81199928,17.28279984,5.5625,41.93,5.18,0,0,0,0,1,0
2019-06-19 00:02:40.817,3.50319593,-9.492913964,2.1457793222,286.138843077,87.4003835385,20.3230767308,6.94230769231,41.3076923077,3.27163461538,0,0,0,0,1,0
2019-06-19 00:02:41.067,-0.357334603417,-7.79512173333,4.41470843958,309.068256522,68.852608087,9.69913014826,14.4266304348,37.9619565217,-11.1413043478,0,0,0,0,1,0
2019-06-19 00:02:41.317,-3.567935174,-6.235267334,6.190639466,322.627385217,48.6530428696,-11.6143476348,19.985,36.0125,-12.8075,0,0,0,0,1,0
2019-06-19 00:02:41.567,-0.3277662246,-9.5839894375,6.00489721025,304.614498,53.39749925,-12.4884998,31.903125,27.128125,-16.221875,0,0,0,0,1,0
2019-06-19 00:02:41.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:42.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:42.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:42.567,,,,,,,,,,0,0,0,0,1,0
