,loggingTime(txt),x,y,z,label(N)
249,1.56113518854E+018,6.97274780273,61.0312957764,-537.982299805,0
250,1.56113518857E+018,6.97274780273,61.0312957764,-537.982299805,0
251,1.56113518861E+018,8.90049743652,62.5609436035,-534.207275391,0
252,1.56113518864E+018,8.90049743652,62.5609436035,-534.207275391,0
253,1.56113518867E+018,10.7261505127,62.6556091309,-532.262207031,0
254,1.5611351887E+018,10.7261505127,62.6556091309,-532.262207031,0
255,1.56113518874E+018,10.8852996826,63.7965240479,-529.964416504,0
256,1.56113518878E+018,8.71887207031,65.2021942139,-527.92578125,0
257,1.56113518881E+018,8.71887207031,65.2021942139,-527.92578125,0
258,1.56113518885E+018,7.28153991699,66.1286315918,-523.86730957,0
259,1.56113518888E+018,7.28153991699,66.1286315918,-523.86730957,0
260,1.56113518891E+018,8.19660949707,66.1130218506,-520.618835449,0
261,1.56113518894E+018,8.19660949707,66.1130218506,-520.618835449,0
262,1.56113518898E+018,9.09992980957,66.0113830566,-519.451293945,0
263,1.56113518901E+018,7.69468688965,66.4691925049,-519.549682617,0
264,1.56113518904E+018,7.69468688965,66.4691925049,-519.549682617,0
265,1.56113518908E+018,7.08435058594,66.5012969971,-522.332641602,0
266,1.56113518911E+018,7.08435058594,66.5012969971,-522.332641602,0
267,1.56113518915E+018,6.55801391602,66.5504302979,-522.570129395,0
268,1.56113518918E+018,6.55801391602,66.5504302979,-522.570129395,0
269,1.56113518921E+018,6.82383728027,66.0361938477,-523.176513672,0
270,1.56113518926E+018,8.58975219727,65.3656463623,-524.073669434,0
271,1.56113518928E+018,8.58975219727,65.3656463623,-524.073669434,0
272,1.56113518933E+018,9.09312438965,63.9571685791,-526.206420898,0
